A2WC012E v68 AF Correction 16-bit RAM literal trace
target float: 0xFFFFB538
target mirror: 0xFFFFB330

16-bit sign-extended refs in FFFFB000-FFFFB8FF: 1843
pc=0x008ECA op=91C8 literal=0x00905E word=B20D value=0xFFFFB20D -> r1
pc=0x00984E op=91E4 literal=0x009A1A word=B079 value=0xFFFFB079 -> r1
pc=0x00FCEE op=960A literal=0x00FD06 word=B8C8 value=0xFFFFB8C8 -> r6
pc=0x0113EA op=9690 literal=0x01150E word=B3F4 value=0xFFFFB3F4 -> r6
pc=0x011538 op=9254 literal=0x0115E4 word=B204 value=0xFFFFB204 -> r2
pc=0x01153C op=9353 literal=0x0115E6 word=B154 value=0xFFFFB154 -> r3
pc=0x011590 op=9332 literal=0x0115F8 word=B218 value=0xFFFFB218 -> r3
pc=0x011594 op=9231 literal=0x0115FA word=B210 value=0xFFFFB210 -> r2
pc=0x011744 op=937A literal=0x01183C word=B304 value=0xFFFFB304 -> r3
pc=0x011748 op=9279 literal=0x01183E word=B218 value=0xFFFFB218 -> r2
pc=0x01174E op=9177 literal=0x011840 word=B220 value=0xFFFFB220 -> r1
pc=0x011888 op=927E literal=0x011988 word=B204 value=0xFFFFB204 -> r2
pc=0x01188C op=937D literal=0x01198A word=B154 value=0xFFFFB154 -> r3
pc=0x0119B4 op=9382 literal=0x011ABC word=B090 value=0xFFFFB090 -> r3
pc=0x011A14 op=9355 literal=0x011AC2 word=B218 value=0xFFFFB218 -> r3
pc=0x011A5E op=9331 literal=0x011AC4 word=B304 value=0xFFFFB304 -> r3
pc=0x011A60 op=9231 literal=0x011AC6 word=B204 value=0xFFFFB204 -> r2
pc=0x011A64 op=9130 literal=0x011AC8 word=B154 value=0xFFFFB154 -> r1
pc=0x011D58 op=9327 literal=0x011DAA word=B218 value=0xFFFFB218 -> r3
pc=0x011ED8 op=916B literal=0x011FB2 word=B204 value=0xFFFFB204 -> r1
pc=0x011EDE op=9369 literal=0x011FB4 word=B090 value=0xFFFFB090 -> r3
pc=0x011EE0 op=9269 literal=0x011FB6 word=B08C value=0xFFFFB08C -> r2
pc=0x011EE6 op=9167 literal=0x011FB8 word=B304 value=0xFFFFB304 -> r1
pc=0x011FEC op=9338 literal=0x012060 word=B204 value=0xFFFFB204 -> r3
