Time,A/F Correction #1 (%),Coolant Temperature (C),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Final Fueling Base (2-byte)* (estimated AFR),Fuel Injector #1 Pulse Width (ms),Ignition Total Timing (degrees),Intake Air Temperature (C),Manifold Absolute Pressure (bar),Throttle Opening Angle (%),Innovate Wideband AFR (AFR Gasoline)
00:11:07.732,7.81,61,0.29,1077,0.00,14.66,2.30,17.00,38,0.340,5.88,14.85
00:11:07.782,7.81,61,0.29,1075,0.00,14.66,2.30,17.00,38,0.340,5.88,14.85
00:11:07.829,7.81,61,0.29,1081,0.00,14.66,2.30,17.00,38,0.340,5.88,14.85
00:11:07.877,7.81,61,0.29,1075,0.00,14.66,2.30,17.00,38,0.340,5.88,14.85
00:11:07.925,7.81,61,0.29,1078,0.00,14.67,2.30,17.00,38,0.340,5.88,14.88
00:11:07.973,7.81,61,0.29,1085,0.00,14.67,2.30,17.00,38,0.340,5.88,14.85
00:11:08.021,7.81,61,0.29,1080,0.00,14.67,2.30,17.00,38,0.340,5.88,14.85
00:11:08.068,7.81,61,0.29,1070,0.00,14.66,2.30,17.00,38,0.340,5.88,14.85
00:11:08.117,7.81,61,0.29,1071,0.00,14.67,2.30,17.00,38,0.340,5.88,14.85
00:11:08.164,7.81,61,0.29,1080,0.00,14.67,2.30,17.00,38,0.340,5.88,14.85
00:11:08.213,7.81,61,0.29,1074,0.00,14.67,2.30,17.00,38,0.340,5.88,14.85
00:11:08.261,7.81,61,0.29,1076,0.00,14.67,2.30,17.00,38,0.340,5.88,14.85
00:11:08.309,7.81,61,0.29,1079,0.00,14.67,2.30,17.00,38,0.340,5.88,14.85
00:11:08.356,7.81,61,0.29,1076,0.00,14.67,2.30,17.00,38,0.340,5.88,14.85
00:11:08.404,7.81,61,0.29,1071,0.00,14.67,2.30,17.00,38,0.340,5.88,14.82
00:11:08.454,7.81,61,0.29,1070,0.00,14.67,2.30,17.00,38,0.340,5.88,14.82
00:11:08.501,7.81,61,0.29,1078,0.00,14.67,2.30,17.00,38,0.340,5.88,14.82
00:11:08.549,7.81,61,0.29,1076,0.00,14.67,2.30,17.00,38,0.340,5.88,14.82
00:11:08.597,7.81,61,0.29,1076,0.00,14.67,2.30,17.00,38,0.340,5.88,14.82
00:11:08.645,7.81,61,0.29,1074,0.00,14.67,2.30,17.00,38,0.350,5.88,14.82
00:11:08.693,7.81,61,0.29,1071,0.00,14.67,2.30,17.00,38,0.350,5.88,14.82
00:11:08.741,7.81,61,0.29,1067,0.00,14.67,2.30,17.00,38,0.350,5.88,14.85
00:11:08.789,7.03,61,0.29,1071,0.00,14.67,2.30,17.00,38,0.350,5.88,14.85
00:11:08.837,7.03,61,0.29,1078,0.00,14.67,2.30,17.00,38,0.350,5.88,14.85
00:11:08.885,7.03,61,0.29,1080,0.00,14.67,2.30,16.50,38,0.350,5.88,14.85
00:11:08.932,7.03,61,0.29,1080,0.00,14.67,2.30,16.50,38,0.340,5.88,14.85
00:11:08.980,7.03,61,0.29,1075,0.00,14.67,2.30,17.00,38,0.350,5.88,14.85
00:11:09.028,7.03,61,0.29,1068,0.00,14.67,2.30,17.00,38,0.350,5.88,14.85
00:11:09.077,7.03,61,0.29,1056,0.00,14.67,2.30,18.00,38,0.350,5.88,14.85
00:11:09.124,7.03,61,0.29,1058,0.00,14.67,2.30,17.50,38,0.350,5.88,14.85
00:11:09.172,7.03,61,0.30,1065,0.00,14.67,2.30,17.00,38,0.350,5.88,14.85
00:11:09.221,7.03,61,0.30,1067,0.00,14.67,2.30,17.00,38,0.350,5.88,14.88
00:11:09.269,7.03,61,0.30,1066,0.00,14.67,2.30,17.00,38,0.350,5.88,14.88
00:11:09.317,7.03,61,0.30,1060,0.00,14.67,2.30,17.00,38,0.350,5.88,14.85
00:11:09.364,7.03,61,0.30,1061,0.00,14.67,2.30,17.00,38,0.350,5.88,14.85
00:11:09.413,7.03,61,0.30,1067,0.00,14.67,2.30,17.00,38,0.350,5.88,14.82
00:11:09.460,7.03,61,0.30,1073,0.00,14.67,2.30,17.00,38,0.350,5.88,14.85
00:11:09.509,7.03,61,0.30,1079,0.00,14.67,2.30,16.50,38,0.350,5.88,14.85
00:11:09.557,7.03,61,0.30,1082,0.00,14.67,2.30,16.00,38,0.350,5.88,14.88
00:11:09.605,7.03,61,0.30,1085,0.00,14.66,2.30,16.00,38,0.350,5.88,14.88
00:11:09.653,7.03,61,0.30,1085,0.00,14.66,2.30,16.00,38,0.350,5.88,14.85
00:11:09.700,7.81,61,0.30,1080,0.00,14.66,2.30,16.50,38,0.350,5.88,14.82
00:11:09.749,7.81,61,0.30,1086,0.00,14.66,2.30,16.00,38,0.350,5.88,14.82
00:11:09.796,7.81,61,0.30,1083,0.00,14.66,2.30,16.50,38,0.350,5.88,14.85
00:11:09.845,7.81,61,0.30,1082,0.00,14.66,2.30,16.50,38,0.350,5.88,14.85
00:11:09.892,7.81,61,0.30,1094,0.00,14.66,2.30,15.50,38,0.350,5.88,14.88
00:11:09.941,7.81,61,0.30,1103,0.00,14.66,2.30,15.00,38,0.350,5.88,14.88
00:11:09.989,7.81,61,0.30,1108,0.00,14.66,2.30,15.00,38,0.350,5.88,14.88
00:11:10.036,7.81,61,0.30,1112,0.00,14.66,2.30,14.50,38,0.350,5.88,14.91
00:11:10.085,7.81,61,0.30,1102,0.00,14.66,2.30,15.50,38,0.350,5.88,14.91
00:11:10.133,7.81,61,0.29,1107,0.00,14.66,2.30,15.00,38,0.350,5.88,14.91
00:11:10.180,7.81,61,0.29,1098,0.00,14.66,2.30,16.00,38,0.350,5.88,14.91
00:11:10.227,7.81,61,0.29,1102,0.00,14.66,2.30,15.50,38,0.340,5.88,14.94
00:11:10.277,7.81,61,0.29,1111,0.00,14.66,2.30,15.00,38,0.340,5.88,14.94
00:11:10.324,7.81,61,0.29,1112,0.00,14.66,2.30,15.00,38,0.340,5.88,14.94
00:11:10.372,7.81,61,0.29,1112,0.00,14.66,2.30,15.00,38,0.340,5.88,14.94
00:11:10.420,7.81,61,0.29,1108,0.00,14.66,2.30,15.50,38,0.340,5.88,14.94
00:11:10.469,7.81,61,0.29,1108,0.00,14.66,2.30,16.00,38,0.340,5.88,14.94
00:11:10.516,7.81,61,0.29,1100,0.00,14.66,2.30,16.00,38,0.340,5.88,14.91
00:11:10.564,7.81,61,0.29,1102,0.00,14.66,2.30,16.00,38,0.340,5.88,14.91
00:11:10.612,7.81,61,0.29,1103,0.00,14.66,2.30,16.00,38,0.340,5.88,14.91
00:11:10.660,7.03,61,0.29,1109,0.00,14.66,2.30,16.00,38,0.340,5.88,14.91
00:11:10.708,7.03,61,0.29,1116,0.00,14.66,2.30,15.50,38,0.340,5.88,14.91
00:11:10.755,7.03,61,0.29,1121,0.00,14.66,2.30,15.00,38,0.340,5.88,14.91
00:11:10.804,7.03,61,0.29,1125,0.00,14.66,2.30,15.00,38,0.340,5.88,14.88
00:11:10.852,7.03,61,0.29,1127,0.00,14.66,2.30,15.00,38,0.340,5.88,14.85
00:11:10.901,7.03,61,0.29,1122,0.00,14.66,2.30,15.50,38,0.340,5.88,14.85
00:11:10.949,7.03,61,0.28,1113,0.00,14.66,2.30,16.00,38,0.340,5.88,14.82
00:11:10.996,7.03,61,0.28,1110,0.00,14.66,2.30,16.00,38,0.340,5.88,14.82
00:11:11.044,7.03,61,0.28,1106,0.00,14.66,2.30,16.50,38,0.340,5.88,14.76
00:11:11.092,7.03,61,0.28,1106,0.00,14.66,2.30,16.50,38,0.340,5.88,14.82
00:11:11.140,7.03,61,0.28,1113,0.00,14.66,2.30,16.00,38,0.340,5.88,14.82
00:11:11.189,7.03,61,0.28,1100,0.00,14.66,2.30,17.00,38,0.340,5.88,14.82
00:11:11.236,7.03,61,0.29,1098,0.00,14.66,2.30,17.00,38,0.340,5.88,14.82
00:11:11.285,7.03,61,0.29,1098,0.00,14.66,2.30,17.00,38,0.340,5.88,14.76
00:11:11.332,7.03,61,0.29,1087,0.00,14.66,2.30,17.00,38,0.340,5.88,14.82
00:11:11.381,7.03,61,0.29,1082,0.00,14.66,2.30,17.50,38,0.340,5.88,14.82
00:11:11.428,7.03,61,0.29,1084,0.00,14.66,2.30,17.00,38,0.340,5.88,14.82
00:11:11.477,7.03,61,0.29,1082,0.00,14.66,2.30,17.50,38,0.340,5.88,14.82
00:11:11.524,7.81,61,0.29,1086,0.00,14.66,2.30,17.00,38,0.340,5.88,14.82
00:11:11.572,7.81,61,0.29,1088,0.00,14.66,2.30,17.00,38,0.340,5.88,14.82
00:11:11.621,7.81,61,0.29,1093,0.00,14.66,2.30,17.00,38,0.350,5.88,14.85
00:11:11.667,7.81,61,0.29,1086,0.00,14.66,2.30,17.00,38,0.350,5.88,14.88
00:11:11.717,7.81,61,0.30,1072,0.00,14.66,2.30,18.00,38,0.350,5.88,14.88
00:11:11.765,7.81,61,0.29,1075,0.00,14.67,2.30,17.50,38,0.350,5.88,14.88
00:11:11.813,7.81,61,0.29,1076,0.00,14.67,2.30,17.50,38,0.350,5.88,14.88
00:11:11.860,8.59,61,0.29,1092,0.00,14.67,2.30,17.00,38,0.350,5.88,14.91
00:11:11.908,8.59,61,0.29,1096,0.00,14.66,2.30,16.50,38,0.350,5.88,14.94
00:11:11.956,8.59,61,0.29,1096,0.00,14.66,2.30,16.50,38,0.350,5.88,14.94
00:11:12.004,8.59,61,0.29,1096,0.00,14.66,2.30,17.50,38,0.350,10.20,14.98
00:11:12.052,8.59,61,0.29,1086,0.00,14.66,2.30,18.50,38,0.540,31.37,14.98
00:11:12.100,9.38,61,0.41,1106,0.00,14.66,6.14,21.50,38,0.930,80.78,14.98
00:11:12.158,0.00,61,0.92,1260,0.00,6.36,9.98,2.50,38,0.940,100.00,15.13
00:11:12.196,0.00,61,0.98,1514,0.00,8.91,8.70,3.00,38,0.940,100.00,15.13
00:11:12.244,0.00,61,0.99,1653,0.00,8.91,8.70,2.50,38,0.940,100.00,14.98
00:11:12.292,0.00,61,1.04,1859,0.00,9.19,8.45,2.50,38,0.940,100.00,14.98
00:11:12.339,0.00,61,1.07,2100,0.00,9.40,8.96,2.00,38,0.940,100.00,14.48
00:11:12.387,0.00,61,1.11,2237,0.00,9.83,8.70,1.50,38,0.940,100.00,14.48
00:11:12.435,0.00,61,1.11,2398,0.00,9.83,8.70,1.50,38,0.940,100.00,14.07
00:11:12.483,0.00,61,1.11,2560,0.00,9.93,8.70,1.50,38,0.940,100.00,13.98
00:11:12.532,0.00,61,1.16,2732,0.00,9.98,9.22,1.50,38,0.940,100.00,13.98
00:11:12.580,0.00,61,1.21,2919,0.00,9.71,9.22,1.50,37,0.940,100.00,13.69
00:11:12.627,0.00,61,1.18,3126,0.00,9.71,8.96,1.50,37,0.950,100.00,13.69
00:11:12.676,0.00,61,1.17,3298,0.00,10.30,8.96,1.50,37,0.960,100.00,13.38
00:11:12.724,0.00,61,1.18,3478,0.00,10.21,9.22,1.00,37,0.970,100.00,13.04
00:11:12.771,0.00,61,1.19,3651,0.00,10.27,9.22,0.50,37,0.980,100.00,13.04
00:11:12.819,0.00,61,1.20,3804,0.00,10.27,9.22,0.00,37,0.990,100.00,12.77
00:11:12.868,0.00,61,1.22,3969,0.00,10.32,9.22,-1.00,37,1.010,100.00,12.77
00:11:12.916,0.00,61,1.23,4112,0.00,10.29,9.47,-1.00,37,1.030,100.00,12.47
00:11:12.963,0.00,61,1.26,4236,0.00,10.28,9.47,-1.00,37,1.060,100.00,12.47
00:11:13.011,0.00,61,1.27,4412,0.00,10.28,9.47,-1.00,37,1.080,100.00,12.35
00:11:13.059,0.00,61,1.32,4576,0.00,10.34,9.98,-0.50,37,1.120,100.00,12.47
00:11:13.108,0.00,61,1.32,4576,0.00,10.34,9.98,-0.50,37,1.120,100.00,12.47
00:11:13.309,0.00,61,1.73,4421,0.00,10.14,0.77,3.00,36,1.370,100.00,14.51
00:11:13.357,0.00,61,1.88,4462,0.00,9.77,14.59,3.50,36,1.390,100.00,14.51
00:11:13.404,0.00,61,1.85,4494,0.00,10.03,0.77,3.50,36,1.430,100.00,15.41
00:11:13.453,0.00,61,2.01,4482,0.00,10.03,15.62,4.00,36,1.490,100.00,15.41
00:11:13.500,0.00,61,2.02,4477,0.00,10.44,0.77,4.00,36,1.520,100.00,15.26
00:11:13.549,0.00,61,2.13,4502,0.00,9.70,16.64,4.00,36,1.550,100.00,15.63
00:11:13.596,0.00,61,2.12,4463,0.00,9.98,0.77,4.00,36,1.660,100.00,15.63
00:11:13.644,0.00,61,2.27,4442,0.00,9.98,17.41,4.00,36,1.640,100.00,15.98
00:11:13.692,0.00,61,2.21,4597,0.00,10.41,0.77,4.00,36,1.680,100.00,15.98
00:11:13.740,0.00,61,2.35,4432,0.00,9.46,0.77,4.00,36,1.710,100.00,16.67
00:11:13.788,0.00,61,2.33,4537,0.00,12.15,14.34,4.00,36,1.680,100.00,17.39
00:11:13.836,0.00,61,2.34,4480,0.00,12.15,0.77,4.00,36,1.740,100.00,17.39
00:11:13.884,0.00,61,2.44,4423,0.00,9.85,18.18,4.00,36,1.720,100.00,16.67
00:11:13.933,0.00,61,2.33,4604,0.00,11.11,0.77,4.00,36,1.720,100.00,16.67
00:11:13.981,0.00,61,2.50,4442,0.00,9.36,0.77,4.00,35,1.780,100.00,18.29
00:11:14.028,0.00,61,2.42,4442,0.00,9.36,17.92,4.00,35,1.720,100.00,18.29
00:11:14.076,0.00,61,2.40,4513,0.00,11.87,0.77,4.00,35,1.780,100.00,17.57
00:11:14.124,0.00,61,2.58,4412,0.00,10.68,19.46,4.00,35,1.790,100.00,16.73
00:11:14.172,0.00,61,2.46,4563,0.00,10.44,0.77,4.00,35,1.790,100.00,16.73
00:11:14.221,0.00,61,2.52,4411,0.00,10.44,0.77,4.00,35,1.850,100.00,16.67
00:11:14.268,0.00,61,2.57,4554,0.00,10.13,13.06,4.00,35,1.840,100.00,16.67
00:11:14.316,0.00,61,2.64,4449,0.00,10.40,19.46,4.00,35,1.890,100.00,15.76
00:11:14.365,0.00,61,2.63,4618,0.00,10.52,0.77,4.00,35,1.880,100.00,15.70
00:11:14.411,0.00,61,2.70,4500,0.00,10.52,0.77,4.00,35,1.930,81.96,15.70
00:11:14.459,0.00,61,2.69,4484,0.00,10.32,7.42,22.50,35,1.490,18.82,16.13
00:11:14.508,0.00,61,1.46,4756,0.00,34.56,2.56,16.50,35,0.650,6.27,16.13
00:11:14.556,0.00,61,0.62,4841,0.00,61.07,1.28,16.50,35,0.320,4.71,19.20
00:11:14.605,0.00,61,0.24,4761,0.00,61.07,0.77,16.50,35,0.210,3.92,19.20
00:11:14.651,0.00,61,0.17,4629,0.00,18.87,0.77,16.50,35,0.190,3.53,15.76
00:11:14.699,0.00,61,0.15,4507,0.00,14.25,0.77,16.50,35,0.170,3.14,14.07
00:11:14.748,0.00,61,0.14,4428,0.00,14.36,0.77,16.50,34,0.170,3.14,14.07
00:11:14.796,0.00,61,0.14,4294,0.00,14.36,0.77,16.50,34,0.160,3.14,13.38
00:11:14.844,0.00,61,0.14,4211,0.00,14.48,0.77,16.50,34,0.160,3.14,13.38
00:11:14.892,0.00,61,0.13,4115,0.00,14.55,0.77,16.50,34,0.160,3.14,12.97
00:11:14.940,0.00,61,0.13,3981,0.00,14.55,0.77,16.50,34,0.170,3.14,12.79
00:11:14.987,0.00,61,0.13,3883,0.00,14.55,0.77,16.50,34,0.170,3.14,12.79
00:11:15.037,0.00,61,0.13,3785,0.00,14.55,0.77,16.50,34,0.170,3.14,12.76
00:11:15.085,0.00,61,0.13,3680,0.00,14.55,0.77,16.50,34,0.170,3.14,12.76
00:11:15.132,0.00,61,0.12,3576,0.00,14.55,0.77,16.50,34,0.160,3.14,12.85
00:11:15.180,0.00,61,0.12,3507,0.00,14.55,0.77,16.50,34,0.170,3.14,13.07
00:11:15.227,0.00,61,0.12,3397,0.00,14.56,0.77,16.50,33,0.160,3.14,13.07
00:11:15.277,0.00,61,0.12,3285,0.00,14.57,0.77,16.50,33,0.160,3.14,13.29
00:11:15.324,0.00,61,0.11,3211,0.00,14.58,0.77,16.50,33,0.160,3.14,13.29
00:11:15.373,0.00,61,0.11,3096,0.00,14.58,0.77,16.50,33,0.160,3.14,13.51
00:11:15.419,0.00,61,0.11,3019,0.00,14.60,0.77,16.50,33,0.160,3.14,13.51
