Time,A/F Correction #1 (%),Coolant Temperature (C),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Final Fueling Base (2-byte)* (estimated AFR),Fuel Injector #1 Pulse Width (ms),Ignition Total Timing (degrees),Intake Air Temperature (C),Manifold Absolute Pressure (bar),Throttle Opening Angle (%),Innovate Wideband AFR (AFR Gasoline),MerpMod LC Engaged Signal (On/Off)
23:08:28.851,3.12,81,0.30,879,0.00,14.70,2.30,12.00,42,0.350,4.31,14.82,0
23:08:28.899,3.12,81,0.30,888,0.00,14.70,2.30,11.50,42,0.350,4.31,14.82,0
23:08:28.950,3.12,81,0.29,889,0.00,14.70,2.30,11.50,42,0.340,4.31,14.82,0
23:08:29.001,3.12,81,0.29,879,0.00,14.70,2.30,12.00,42,0.340,4.31,14.82,0
23:08:29.050,3.12,81,0.30,876,0.00,14.70,2.30,12.00,42,0.340,4.31,14.82,0
23:08:29.101,3.12,81,0.30,881,0.00,14.70,2.30,12.00,42,0.340,4.31,14.82,0
23:08:29.151,3.12,81,0.30,874,0.00,14.70,2.30,12.00,42,0.340,4.31,14.82,0
23:08:29.200,3.12,81,0.29,868,0.00,14.70,2.30,12.50,42,0.340,4.31,14.82,0
23:08:29.250,3.12,81,0.30,868,0.00,14.70,2.30,12.00,42,0.340,4.31,14.82,0
23:08:29.300,3.12,81,0.30,874,0.00,14.70,2.30,12.00,42,0.350,4.31,14.82,0
23:08:29.350,3.12,81,0.30,874,0.00,14.70,2.30,12.00,42,0.340,4.31,14.82,0
23:08:29.400,3.12,81,0.30,868,0.00,14.70,2.30,12.00,42,0.350,4.31,14.82,0
23:08:29.450,3.12,81,0.30,855,0.00,14.70,2.30,12.50,42,0.350,4.31,14.82,0
23:08:29.500,3.12,81,0.30,862,0.00,14.70,2.30,12.50,42,0.350,4.31,14.82,0
23:08:29.551,3.12,81,0.30,857,0.00,14.70,2.30,13.00,42,0.350,4.31,14.82,0
23:08:29.600,3.12,81,0.30,853,0.00,14.70,2.30,13.00,42,0.350,4.31,14.82,0
23:08:29.650,3.12,81,0.30,859,0.00,14.70,2.30,12.50,42,0.350,4.31,14.82,0
23:08:29.701,3.12,81,0.30,867,0.00,14.70,2.30,12.50,42,0.350,4.31,14.85,0
23:08:29.750,3.12,81,0.30,865,0.00,14.70,2.30,12.00,42,0.350,4.31,14.85,0
23:08:29.799,3.12,81,0.30,863,0.00,14.70,2.30,12.00,42,0.350,4.31,14.85,0
23:08:29.850,3.12,81,0.30,868,0.00,14.70,2.30,12.00,42,0.350,4.31,14.85,0
23:08:29.900,3.12,81,0.30,864,0.00,14.70,2.30,12.00,42,0.350,4.31,14.85,0
23:08:29.950,3.12,81,0.30,870,0.00,14.70,2.30,12.00,42,0.350,4.31,14.82,0
23:08:30.000,3.12,81,0.30,879,0.00,14.70,2.30,11.50,42,0.350,4.31,14.82,0
23:08:30.050,3.12,81,0.30,878,0.00,14.70,2.30,11.50,42,0.350,4.31,14.82,0
23:08:30.100,3.12,81,0.30,873,0.00,14.70,2.30,12.00,42,0.350,4.31,14.82,0
23:08:30.153,3.12,81,0.30,874,0.00,14.70,2.30,12.00,42,0.350,4.31,14.82,0
23:08:30.202,3.12,81,0.30,877,0.00,14.70,2.30,11.50,42,0.350,4.31,14.82,0
